Units are S.I. units (second, meters, Newtons, ...)
Angles are in degrees.
name walk
datarows 101 
datacolumns 25 
range 0  2.0
endheader
time Pelvis_PX Pelvis_PY Pelvis_PZ Pelvis_X Pelvis_Y Pelvis_Z FemurR_X FemurR_Y FemurR_Z FemurL_X FemurL_Y FemurL_Z TibiaR_X TibiaR_Y TibiaR_Z TibiaL_X TibiaL_Y TibiaL_Z TalusR_X TalusR_Y TalusR_Z TalusL_X TalusL_Y TalusL_Z
56.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 -0.55102 -15.48900 1.51736 2.26515 0.27537 32.26260 -3.08511 0.83178 15.66520 2.17251 -20.33170 5.94314 7.73513 9.76523 4.34739 -4.14126 2.08546 -2.65912
57.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 -1.06572 -15.39940 1.83944 2.61448 -0.07486 32.09500 -3.47894 -0.32863 17.76180 2.49908 -19.31900 7.26612 8.07730 10.71750 2.48896 -3.83714 1.79767 -2.68130
58.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 -1.62944 -15.35850 2.28088 3.03514 -0.55122 31.66910 -3.80244 -2.00429 20.18620 2.70060 -18.60800 8.21562 8.01514 12.09410 0.22891 -3.93121 2.02203 -2.67018
59.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 -2.24676 -15.37060 2.84807 3.50734 -0.95756 30.83350 -4.06270 -3.99803 22.95570 2.78266 -18.02520 8.69229 7.48086 13.76400 -2.33971 -4.51220 2.35145 -2.55909
60.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 -2.89681 -15.41060 3.58019 3.98894 -1.21626 29.65680 -4.28320 -5.93749 26.10490 2.78230 -17.33500 8.81357 6.53198 15.38120 -4.97364 -5.40074 2.44231 -2.27729
61.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 -3.54597 -15.40410 4.53793 4.44101 -1.37959 28.33970 -4.48031 -7.44944 29.66290 2.72310 -16.60260 8.70951 5.31638 16.53340 -7.31799 -6.32566 2.34480 -1.87819
62.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 -4.16419 -15.22270 5.78359 4.83091 -1.55051 27.07940 -4.63161 -8.33408 33.59600 2.62344 -16.12590 8.46103 3.87255 16.90700 -9.07440 -7.11180 2.37254 -1.43057
63.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 -4.72188 -14.74680 7.34121 5.12989 -1.82108 25.96850 -4.69096 -8.66064 37.75380 2.50023 -16.08130 8.11631 2.15364 16.43970 -10.24520 -7.66767 2.74595 -0.95340
64.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 -5.17907 -13.94800 9.17064 5.31763 -2.21204 24.99600 -4.63924 -8.70642 41.90910 2.38637 -16.35020 7.70722 0.44086 15.36990 -11.08840 -8.00141 3.40019 -0.45052
65.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 -5.49483 -12.92430 11.18940 5.39841 -2.64871 24.12050 -4.51025 -8.73367 45.85470 2.31931 -16.67550 7.26084 -0.73004 14.05490 -11.73250 -8.20372 4.08767 0.06024
